index,date,us,uk,jp,euro,kor,ind,tw,br,gold,kor3y,kor10y,us3y,us10y
2082.0,2022-12-20,1815.9000244140625,61702.2890625,106979.0,7370.60009765625,10547.1103515625,2333.2900390625,26568.029296875,3802.489990234375,14170.0302734375,3.687,3.584,4.028,3.692
2083.0,2022-12-21,1815.9000244140625,61067.23828125,107313.0,7497.2998046875,10709.3701171875,2328.949951171875,26387.720703125,3872.14990234375,14234.400390625,3.646,3.567,4.0,3.673
2084.0,2022-12-22,1787.0,60826.21875,107317.0,7469.2998046875,10476.1201171875,2356.72998046875,26507.869140625,3823.2900390625,14442.9404296875,3.566,3.499,4.042,3.686
2085.0,2022-12-23,1795.9000244140625,59845.2890625,109698.0,7473.0,10497.8603515625,2313.68994140625,26235.25,3817.010009765625,14271.6298828125,3.625,3.552,4.093,3.751
2086.0,2022-12-24,1800.6250305175781,60085.666666666664,109378.0,7477.8400390625,10461.702880859375,2314.8399251302085,26292.123046875,3820.97998046875,14276.1298828125,3.615,3.551,4.092,3.748333333333333
2087.0,2022-12-25,1805.3500366210938,60326.044270833336,109058.0,7482.680078125,10425.54541015625,2315.9899088541665,26348.99609375,3824.949951171875,14280.6298828125,3.615,3.551,4.091,3.7456666666666663
2088.0,2022-12-26,1810.0750427246094,60566.421875,108738.0,7487.5201171875,10389.387939453125,2317.139892578125,26405.869140625,3828.919921875,14285.1298828125,3.664,3.64,4.09,3.743
2089.0,2022-12-27,1814.800048828125,60927.4296875,108347.0,7492.36015625,10353.23046875,2332.7900390625,26447.869140625,3832.889892578125,14328.4296875,3.661,3.612,4.169,3.849
2090.0,2022-12-28,1807.9000244140625,60910.28125,110237.0,7497.2001953125,10213.2900390625,2280.449951171875,26340.5,3808.820068359375,14173.099609375,3.668,3.675,4.181,3.886
2091.0,2022-12-29,1819.5,61133.87890625,110031.0,7512.7001953125,10478.08984375,2236.39990234375,26093.669921875,3850.070068359375,14085.01953125,3.718,3.723,4.167,3.82
2092.0,2022-12-30,1819.699951171875,60840.73828125,109117.25,7451.7001953125,10466.48046875,2233.7174072265625,26094.5,3793.6201171875,14137.6904296875,3.725,3.735,4.227,3.879
2093.0,2022-12-31,1824.699951171875,60949.755208333336,108203.5,7477.3001708984375,10446.60546875,2231.034912109375,26018.971875,3815.78759765625,14159.2978515625,3.725,3.735,4.226,3.879
2094.0,2023-01-01,1829.699951171875,61058.772135416664,107289.75,7502.900146484375,10426.73046875,2228.3524169921875,25943.44375,3837.955078125,14180.9052734375,3.725,3.735,4.2250000000000005,3.879
